Open,High,Low,Close,Volume,int_range
103.84,104,102.26,102.32,15758762,10
101.93,103.78,101.63,102.57,15475494,13
101.8,102.21,99.05,99.62,21250414,20
97.38,101.38,97,100.8,17318186,14
100.38,101.49,98.84,100.28,20004920,12
100.08,102.59,100.02,102.4,19604724,17
102.62,104.48,102.53,104.45,20841027,19
104,105.39,103.86,104.64,20363471,15
105.16,105.5,102.195,103.03,15234574,15
102.94,103.73,100.93,101.45,12863809,10
102.46,106.19,102.21,106,22997062,15
107.57,109.76,107.48,109.36,35627728,3
108.25,108.4,106.71,107.71,23082976,6
106.52,107.06,105.3,105.89,16805335,9
106.52,108.49,106.37,108.26,17556710,4
108.44,109.87,107.16,108.75,16371600,6
106.51,106.69,104.57,105.55,30236671,12
106.5,107.1,105.79,105.79,15577503,10
105.45,106.29,104.98,105.38,10849473,15
105.93,106.23,105.05,105.45,11068841,9
105.87,107.45,105.66,106.96,13176546,3
107.3,107.51,106.185,107.08,9885558,0
106.89,107.55,105.56,106,8954371,2
106.79,109,106.56,108.41,11516628,0
107.89,107.97,104.75,105.23,14916564,6
105.05,105.11,101.82,103.62,18434983,10
102.06,102.55,99,102.15,22389979,13
104.27,104.7,101.03,101.85,12789498,14
101.5,103.47,101.27,102.84,10351713,13
104.47,104.99,103.31,103.34,11107198,11
104.33,104.8,103.65,103.93,8918931,7
104.2,104.74,103.57,103.85,7109782,7
103.7,103.94,102.75,103.94,8073095,6
104.98,105.3,103.55,104.5,10898833,4
104.86,105.2002,104.02,104.22,8985668,4
103.68,104,102.7,102.78,7579847,1
103.38,104.11,101.85,102.38,8807090,0
102.35,103.05,101.55,101.93,8479491,1
102.65,103.21,101.42,101.69,15837901,5
100.43,101.24,99.21,101.15,21287287,7
103.85,104.1,97.3,98.51,37066972,6
98.04,99.3,96.46,97.75,17412642,3
96.9,98.79,96.67,97.57,9048524,0
100.07,100.62,99.16,99.35,11198343,0
99.39,99.99,98.36,99.85,8091111,0
97.38,98.58,95.8,96.67,20948039,2
98.34,98.5,92.22,94.34,27346656,9
93.86,94.09,91.1,92.99,23725758,10
92.451,92.54,87.88,89.77,27356192,18
91,93.49,90.75,91,16722956,14
91.39,93.68,91.33,92.86,14079662,10
94.71,94.98,93.64,94.07,10372795,7
94.85,95.3,92.67,93.39,10032576,10
94.05,94.66,93,93.41,8960045,13
94.24,94.42,93.16,93.21,10403624,11
92.53,93.4,91.45,93.03,11743806,3
93.55,93.75,92.77,93.01,4868511,4
93.02,95.7411,93,93.76,14340055,4
93.67,96.055,93.39,94.99,14146870,0
95.28,95.48,93.3,94.02,11447742,3
94,94.055,89.18,89.86,24030681,15
90.38,91.74,89.95,90.48,11718827,16
90.05,91.4,89.57,90.99,8902646,13
91.56,91.93,89.96,90.4,7787821,13
90.52,91.65,89.5,91.07,13240009,10
91.8,93.08,91.03,92.31,10919524,2
92.51,93.64,92.28,93.28,9177566,0
92.05,92.89,91.7,92.47,9355867,2
92.8,93.73,91.87,92.16,10491316,4
91.83,92.26,90.83,91.19,9153726,5
90,90.6,88.74,88.85,19215542,5
89,90.1,88.56,88.67,11341520,5
88.61,89.82,88.41,88.93,10226275,6
89.19,90.31,88.94,89.84,8434744,4
89.96,90.43,89.25,89.25,9044867,5
87.89,88.26,86.01,86.8,14404521,12
86.62,87.68,86.62,86.79,6360165,14
86.72,87.94,86.71,87.54,5228010,16
88.3,88.75,87.22,87.37,6421078,10
87.82,88.2,87.16,87.33,5467104,10
87.57,88.1,87.2,87.81,7211060,10
89,89,88.08,88.6,8789386,10
88.985,90.89,88.58,90.51,11490165,10
91.91,94.81,91.64,94.37,16821545,13
94.4,94.5,93,93.89,7639786,15
94.16,95.65,93.31,94.72,10829512,12
96.4,97.904,95.55,96.75,14780567,8
96.92,97.45,95.6,96.94,8735888,8
96.85,96.85,94.8,95.9,8424702,10
95.95,97.38,95.76,96.27,10701089,14
96.32,96.59,95,96.12,6342427,10
96.27,96.27,95.26,96,6610650,10
96.42,96.7,95.58,96.17,7089962,10
96.45,97.15,95.6707,96.06,9685787,10
96.48,98.67,96.26,98.41,14090338,15
103.15,103.19,99.94,101.43,37181541,9
102.46,104.27,101.9,104.06,23322771,5
103.92,104.57,102.17,102.75,12504773,6
102.25,102.7,101.29,102.07,8031012,6
101.2,101.46,100.09,101.02,8619760,9
100.24,102.09,100.06,101.31,7530026,9
102.07,102.38,100.87,101.57,5736373,13
101.28,101.47,100.56,100.84,5371631,14
101.5,101.56,100.3,100.39,6197622,13
100.17,101.706,100.02,100.9,6866702,14
101.04,101.6,100.5,100.83,5655631,11
101.55,103.99,101.16,103.57,10178465,6
103.325,104.18,102.56,103.34,8435817,5
103.88,103.94,102.31,102.36,7680312,6
102.82,104.44,102.62,103.1,9728978,8
103.14,103.6,100.896,101.59,10240705,15
102.06,102.13,100.11,101.55,12384440,11
101.86,102.1,100.5,100.82,7464034,14
100.69,101.73,100.3,100.52,8258244,16
101.03,102.54,100.91,102.12,8189639,11
102.48,105.2,102.42,104.2,15779442,9
104.72,104.86,101.82,102.46,10095637,11
101.39,103,101.3,102.95,7356558,10
102.5,103.825,102.2201,103.6,6865880,7
103.89,103.99,102.03,102.9,8017478,9
103.68,104.99,103.21,104.04,10331843,8
103.8,104.58,102.77,103.19,7983012,10
102.99,103.42,102.44,103.31,6320936,10
102.76,103.25,102.1,102.31,6290674,15
102.3,103.3078,102.11,102.63,4985200,13
102.63,104.29,102.54,103.22,7066707,10
102.97,103.75,102.76,103.24,4523635,14
103.43,103.7,102.63,103.39,4120725,14
103.52,106.25,103.47,105.18,16118945,13
104.61,106,103.8221,104.25,7748369,11
104.37,104.49,102.6,103.69,11695195,14
105.25,105.65,104.301,105.63,12445226,14
105.17,106.5,104.86,105.61,8778885,14
106.23,108.2,105.94,107.25,12447932,11
108.46,108.7,104.7,105.09,13877719,15
104.64,106.12,103.98,106.09,7153035,16
106.95,108.83,106.44,108.25,13410771,11
108.4,109.13,107.23,108.04,7578379,9
106.65,108.19,106.51,108.08,7709376,10
108.23,108.95,107.4601,107.8,6472004,9
107.97,109.74,107.69,109.51,8788720,6
